words	freq	n	p
偽妓	155	2	1.32076E-05
販氓	154	2	1.31224E-05
盲陣	154	2	1.31224E-05
狼營	154	2	1.31224E-05
雜狗	153	2	1.30372E-05
禍港力	153	3	1.30372E-05
梁愛屍	153	3	1.30372E-05
涼仲痕	152	3	1.2952E-05
化濃功	152	3	1.2952E-05
英奸	150	2	1.27816E-05
肉文	150	2	1.27816E-05
牧屍	149	2	1.26964E-05
奶共鬼	149	3	1.26964E-05
肺老	148	2	1.26111E-05
支種	148	2	1.26111E-05
閤家	147	2	1.25259E-05
夠能膽	147	3	1.25259E-05
鯨子	147	2	1.25259E-05
大口侵	147	3	1.25259E-05
攔坦	146	2	1.24407E-05
莫奶光	146	3	1.24407E-05
美匪	146	2	1.24407E-05
鱷橋	146	2	1.24407E-05
校棍	145	2	1.23555E-05
娘瓜	145	2	1.23555E-05
肉民	145	2	1.23555E-05
巨根	144	2	1.22703E-05
社狗	144	2	1.22703E-05
肥鵬	144	2	1.22703E-05
化卵	144	2	1.22703E-05
速蟲	141	2	1.20147E-05
肥婆麥	141	3	1.20147E-05
惡喬	141	2	1.20147E-05
蠢統	141	2	1.20147E-05
銷藥員	141	3	1.20147E-05
倭相	139	2	1.18443E-05
臭口玲	139	3	1.18443E-05
特丑	139	2	1.18443E-05
吊能	138	2	1.1759E-05
文煮黨	138	3	1.1759E-05
支国人	138	3	1.1759E-05
社畜連	138	3	1.1759E-05
特離普	138	3	1.1759E-05
畜醫	138	2	1.1759E-05
蝗童	138	2	1.1759E-05
杜賊	138	2	1.1759E-05
李慧鯨	137	3	1.16738E-05
黑鴿	137	2	1.16738E-05
肥仔奧	136	3	1.15886E-05
傻登	135	2	1.15034E-05
瘋孽	135	2	1.15034E-05
淫君	135	2	1.15034E-05
劣政司	135	3	1.15034E-05
媒狗	134	2	1.14182E-05
乞衣護	134	3	1.14182E-05
含七	133	2	1.1333E-05
鄭匪	133	2	1.1333E-05
律正屍	132	3	1.12478E-05
屠傑	132	2	1.12478E-05
屍屠華	132	3	1.12478E-05
克記	132	2	1.12478E-05
社連畜	131	3	1.11626E-05
販粉	130	2	1.10774E-05
能仲痕	130	3	1.10774E-05
奔周	129	2	1.09921E-05
含銀	129	2	1.09921E-05
教渣	129	2	1.09921E-05
呆灣妹	129	3	1.09921E-05
胃興	129	2	1.09921E-05
hi auntie	128	9	1.09069E-05
黐綫	128	2	1.09069E-05
懵西	128	2	1.09069E-05
話九知	128	3	1.09069E-05
右癌	128	2	1.09069E-05
菜桶	127	2	1.08217E-05
警黑政	127	3	1.08217E-05
狗司	127	2	1.08217E-05
仆制	126	2	1.07365E-05
西洞	126	2	1.07365E-05
好能悶	126	3	1.07365E-05
有義用	126	3	1.07365E-05
吊理	125	2	1.06513E-05
關你九事	125	4	1.06513E-05
雞貞	125	2	1.06513E-05
昂膠	124	2	1.05661E-05
膠佬	124	2	1.05661E-05
雞協	124	2	1.05661E-05
張超熊	124	3	1.05661E-05
雙鶴	124	2	1.05661E-05
窮燃	123	2	1.04809E-05
譚惠豬	123	3	1.04809E-05
有七用	122	3	1.03957E-05
痔英	122	2	1.03957E-05
張容	122	2	1.03957E-05
蝗樣	121	2	1.03105E-05
綠蠅	121	2	1.03105E-05
特九	121	2	1.03105E-05
勼	120	1	1.02253E-05
陰勁	120	2	1.02253E-05
吊梨	120	2	1.02253E-05
乜七野	120	3	1.02253E-05
獨西	120	2	1.02253E-05
美國賊	120	3	1.02253E-05
老武	118	2	1.00548E-05
識春咩	118	3	1.00548E-05
記畜	118	2	1.00548E-05
學氓	118	2	1.00548E-05
老妹	116	2	9.88441E-06
濺種	116	2	9.88441E-06
普驚	115	2	9.7992E-06
王蟲	115	2	9.7992E-06
陳暈	115	2	9.7992E-06
隱樣	114	2	9.71399E-06
畜護	114	2	9.71399E-06
肢亂會	114	3	9.71399E-06
途緊生	114	3	9.71399E-06
豬營	114	2	9.71399E-06
有銀用	113	3	9.62878E-06
福乖	113	2	9.62878E-06
幼蝗	113	2	9.62878E-06
何俊淫	113	3	9.62878E-06
劣政屍	113	3	9.62878E-06
泥智英	113	3	9.62878E-06
日匪	112	2	9.54357E-06
淫蟲基	112	3	9.54357E-06
病蛾	111	2	9.45836E-06
支西	110	2	9.37315E-06
黨奸	110	2	9.37315E-06
臭能	109	2	9.28794E-06
關你西事	109	4	9.28794E-06
鄺俊乳	109	3	9.28794E-06
蝗卵	109	2	9.28794E-06
奚窿	108	2	9.20273E-06
覀	108	1	9.20273E-06
吃大便	108	3	9.20273E-06
大愛膠	106	3	9.03231E-06
蓄狗	106	2	9.03231E-06
暴大牲	105	3	8.9471E-06
劉蛇	105	2	8.9471E-06
豬海滴	105	3	8.9471E-06
打能到	104	3	8.86189E-06
豬凱	104	2	8.86189E-06
惶痴	104	2	8.86189E-06
牛屎麗	104	3	8.86189E-06
蝗畜	104	2	8.86189E-06
